ALUMNE,CORREU,GRUP,MP01,MP02,MP03,MP04,MP05,MP06,MP07,MP08,MP09,MP10,MP11,MP12,MP13,MP14,MP15
"Cognom1 Cognom2, Nom",estudiant1@elpuig.xeill.net,AF1,x,,x,,x,x,x,,,x,,,,,
"Cognom1 Cognom2, Nom",estudiant2@elpuig.xeill.net,AF2,,x,,x,,x,,x,x,,x,,x,,
"Cognom1 Cognom2, Nom",estudiant3@elpuig.xeill.net,ASIX1,x,x,x,x,,,,,,x,,x,x,,
"Cognom1 Cognom2, Nom",estudiant4@elpuig.xeill.net,ASIX2,x,x,,,x,x,x,x,x,x,x,,,x,
"Cognom1 Cognom2, Nom",estudiant5@elpuig.xeill.net,DAM1,x,x,x,x,,,,,,,x,x,,,
"Cognom1 Cognom2, Nom",estudiant6@elpuig.xeill.net,DAM2A,,x,x,,x,x,x,x,x,x,,,x,,
"Cognom1 Cognom2, Nom",estudiant7@elpuig.xeill.net,DAM2B,,x,x,,x,x,x,x,x,x,,,x,,
"Cognom1 Cognom2, Nom",estudiant8@elpuig.xeill.net,GA1,x,x,x,,x,,x,,x,x,,x,,,
"Cognom1 Cognom2, Nom",estudiant9@elpuig.xeill.net,GA2,x,,,x,,x,x,x,,,x,,,,
"Cognom1 Cognom2, Nom",estudiant10@elpuig.xeill.net,SMX1A,x,x,x,,x,,,,x,,x,,,,
"Cognom1 Cognom2, Nom",estudiant11@elpuig.xeill.net,SMX1B,x,x,x,,x,,,,x,,x,,,,
"Cognom1 Cognom2, Nom",estudiant12@elpuig.xeill.net,SMX1C,x,x,x,,x,,,,x,,x,,,,
"Cognom1 Cognom2, Nom",estudiant13@elpuig.xeill.net,SMX2A,,,,x,,x,x,x,,x,,x,,,
"Cognom1 Cognom2, Nom",estudiant14@elpuig.xeill.net,SMX2B,,x,,x,x,x,x,x,x,x,,x,,,
"Cognom1 Cognom2, Nom",estudiant15@elpuig.xeill.net,SMX2C,,,,x,,x,x,x,,x,,x,,,
